Block Name,Point ID,alphat,k,Normals_0,Normals_1,Normals_2,Normals_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus
Airfoil,0,3.01129e-07,2.96811e-05,0.153235,-0.98819,0,1,2.55865e-07,22.7456,1.00109,0.0465246,0.034836,0,0.0581213,1.00039,1.00071,0,0,0,0,27.3314
Airfoil,1,3.01129e-07,2.96811e-05,0.153235,-0.98819,0,1,2.55865e-07,22.7456,1.00109,0.0465246,0.034836,1,1.00169,1.00039,1.00071,0,0,0,0,27.3314
Airfoil,2,3.66807e-07,9.53502e-06,0.219707,-0.975566,0,1,3.11596e-07,14.8573,1.00112,0.0250899,0.0312981,1,1.0008,1.00057,1.00054,0,0,0,0,31.7052
Airfoil,3,3.66807e-07,9.53502e-06,0.219707,-0.975566,0,1,3.11596e-07,14.8573,1.00112,0.0250899,0.0312981,0,0.0401133,1.00057,1.00054,0,0,0,0,31.7052
Airfoil,4,2.59998e-07,4.70477e-05,0.132825,-0.991139,0,1,2.20888e-07,28.3072,1.00123,0.0680241,0.0379557,0,0.0778968,1.0005,1.00073,0,0,0,0,24.6116
Airfoil,5,2.59998e-07,4.70477e-05,0.132825,-0.991139,0,1,2.20888e-07,28.3072,1.00123,0.0680241,0.0379557,1,1.00303,1.0005,1.00073,0,0,0,0,24.6116
Airfoil,6,2.41517e-07,5.4987e-05,0.110731,-0.99385,0,1,2.05213e-07,31.1095,1.00108,0.0895864,0.0406069,0,0.0983597,1.00037,1.0007,0,0,0,0,23.3939
Airfoil,7,2.41517e-07,5.4987e-05,0.110731,-0.99385,0,1,2.05213e-07,31.1095,1.00108,0.0895864,0.0406069,1,1.00483,1.00037,1.0007,0,0,0,0,23.3939
Airfoil,8,2.35984e-07,5.8202e-05,0.0913823,-0.995816,0,1,2.00538e-07,32.6456,1.0009,0.111204,0.0427667,0,0.119144,1.00024,1.00066,0,0,0,0,23.03
Airfoil,9,2.35984e-07,5.8202e-05,0.0913823,-0.995816,0,1,2.00538e-07,32.6456,1.0009,0.111204,0.0427667,1,1.00707,1.00024,1.00066,0,0,0,0,23.03
Airfoil,10,2.33075e-07,5.99177e-05,0.0737702,-0.997275,0,1,1.98079e-07,33.73,1.00079,0.132853,0.0445773,0,0.140132,1.00017,1.00062,0,0,0,0,22.8389
