Block Name,Point ID,vtkOriginalPointIds,alphat,div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus,,Cp
Airfoil,0,108,6.48E-07,2.39E-08,5.67E-07,0,0,0,0,0,5.51E-07,7.47351,0.99971,0.00136453,-0.00859942,1,1.00004,0.999757,0.999929,0,0,0,0,50.9446,,-0.054134777
Airfoil,1,109,6.48E-07,2.39E-08,5.67E-07,0,0,0,0,0,5.51E-07,7.47351,0.99971,0.00136453,-0.00859942,0,0.00870701,0.999757,0.999929,0,0,0,0,50.9446,,-0.054134777
Airfoil,2,110,7.62E-07,3.28E-08,6.82E-07,0,0,0,0,0,6.49E-07,7.69449,0.997028,0.00346008,-0.0139605,1,1.0001,0.997716,0.999279,0,0,0,0,58.9721,,-0.554788128
Airfoil,3,111,7.62E-07,3.28E-08,6.82E-07,0,0,0,0,0,6.49E-07,7.69449,0.997028,0.00346008,-0.0139605,0,0.0143829,0.997716,0.999279,0,0,0,0,58.9721,,-0.554788128
Airfoil,4,112,8.28E-07,3.80E-08,8.82E-07,0,0,0,0,0,7.07E-07,8.23828,0.993952,0.006305,-0.0189856,1,1.0002,0.995274,0.99863,0,0,0,0,63.6865,,-1.128990106
Airfoil,5,113,8.28E-07,3.80E-08,8.82E-07,0,0,0,0,0,7.07E-07,8.23828,0.993952,0.006305,-0.0189856,0,0.0200051,0.995274,0.99863,0,0,0,0,63.6865,,-1.128990106
Airfoil,6,114,8.21E-07,4.88E-08,1.22E-06,0,0,0,0,0,7.02E-07,8.9919,0.991821,0.0103233,-0.0231249,1,1.00032,0.99343,0.99833,0,0,0,0,63.2084,,-1.526787381
Airfoil,7,115,8.21E-07,4.88E-08,1.22E-06,0,0,0,0,0,7.02E-07,8.9919,0.991821,0.0103233,-0.0231249,0,0.0253246,0.99343,0.99833,0,0,0,0,63.2084,,-1.526787381
Airfoil,8,116,7.67E-07,4.12E-08,1.74E-06,0,0,0,0,0,6.57E-07,9.56301,0.99164,0.0149508,-0.0265696,1,1.00046,0.99299,0.998585,0,0,0,0,59.3743,,-1.560574949
Airfoil,9,117,7.67E-07,4.12E-08,1.74E-06,0,0,0,0,0,6.57E-07,9.56301,0.99164,0.0149508,-0.0265696,0,0.0304872,0.99299,0.998585,0,0,0,0,59.3743,,-1.560574949
Airfoil,10,118,7.06E-07,1.38E-08,2.65E-06,0,0,0,0,0,6.04E-07,9.90252,0.992523,0.0199654,-0.0294341,1,1.00063,0.993411,0.99905,0,0,0,0,55.0399,,-1.395743887
Airfoil,11,119,7.06E-07,1.38E-08,2.65E-06,0,0,0,0,0,6.04E-07,9.90252,0.992523,0.0199654,-0.0294341,0,0.0355666,0.993411,0.99905,0,0,0,0,55.0399,,-1.395743887
Airfoil,12,120,6.30E-07,-3.42E-08,2.37E-05,0,0,0,0,0,5.38E-07,16.237,0.993676,0.0250899,-0.0320986,1,1.00083,0.994084,0.999533,0,0,0,0,49.6607,,-1.18051148
Airfoil,13,123,5.36E-07,-3.03E-07,6.18E-05,0,0,0,0,0,4.58E-07,26.8156,0.993967,0.0450733,-0.0416917,1,1.00188,0.994151,0.999759,0,0,0,0,43.1608,,-1.126190032
Airfoil,14,125,4.75E-07,-3.83E-07,9.23E-05,0,0,0,0,0,4.06E-07,34.5363,0.993407,0.0654808,-0.0503449,1,1.00341,0.993687,0.999659,0,0,0,0,38.9847,,-1.230726153
Airfoil,15,127,4.40E-07,-6.53E-07,0.00011372,0,0,0,0,0,3.77E-07,40.8191,0.992686,0.0862924,-0.0579796,1,1.00539,0.993119,0.999501,0,0,0,0,36.6628,,-1.365316408
