Block Name,Point ID,vtkOriginalPointIds,alphat,Cp(upper),div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus,,Cp
Airfoil,0,1,3.52E-07,185.462,-3.03E-07,5.43E-05,0,0,0,0,0,2.99E-07,29.0918,1.00105,0.0465246,0.034836,1,1.00169,1.00035,1.00066,0,0,0,0,30.7315,,0.196005227
Airfoil,1,2,4.11E-07,185.436,-2.28E-07,3.12E-05,0,0,0,0,0,3.49E-07,21.8851,1.00091,0.0250899,0.0312981,1,1.0008,1.00034,1.00053,0,0,0,0,34.6611,,0.169871197
Airfoil,2,5,3.18E-07,185.473,-2.23E-07,6.73E-05,0,0,0,0,0,2.70E-07,32.8833,1.00111,0.0680241,0.0379557,1,1.00303,1.00036,1.00071,0,0,0,0,28.4539,,0.207205525
Airfoil,3,7,3.02E-07,185.436,-4.11E-07,7.40E-05,0,0,0,0,0,2.57E-07,35.2566,1.00091,0.0895864,0.0406069,1,1.00483,1.00019,1.00068,0,0,0,0,27.3978,,0.169871197
Airfoil,4,9,2.90E-07,185.404,-4.11E-07,7.68E-05,0,0,0,0,0,2.47E-07,36.7014,1.00074,0.111204,0.0427667,1,1.00707,1.00005,1.00065,0,0,0,0,26.6241,,0.138137017
Airfoil,5,11,2.78E-07,185.385,-4.59E-07,7.69E-05,0,0,0,0,0,2.36E-07,37.4626,1.00064,0.132853,0.0445773,1,1.00977,0.999965,1.00063,0,0,0,0,25.7811,,0.119469853
Airfoil,6,13,2.62E-07,185.375,-4.56E-07,7.47E-05,0,0,0,0,0,2.23E-07,37.6425,1.00058,0.154533,0.0459718,1,1.01291,0.99991,1.00063,0,0,0,0,24.7346,,0.108269554
Airfoil,7,15,2.46E-07,185.376,-5.03E-07,7.09E-05,0,0,0,0,0,2.09E-07,37.219,1.00059,0.176232,0.0470281,1,1.0165,0.999909,1.00064,0,0,0,0,23.6748,,0.11013627
Airfoil,8,17,2.33E-07,185.38,-6.42E-07,6.68E-05,0,0,0,0,0,1.98E-07,36.4814,1.00061,0.19794,0.0479093,1,1.02053,0.99993,1.00064,0,0,0,0,22.8401,,0.113869703
Airfoil,9,19,2.25E-07,185.381,-4.74E-07,6.36E-05,0,0,0,0,0,1.91E-07,35.7898,1.00062,0.21965,0.0487197,1,1.025,0.999938,1.00064,0,0,0,0,22.3108,,0.11573642
