Block Name,Point ID,alphat,k,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus
Airfoil,0,3.01129e-07,2.96811e-05,2.55865e-07,22.7456,1.00109,0.0465246,0.034836,0,0.0581213,1.00039,1.00071,0,0,0,0,27.3314
Airfoil,1,3.01129e-07,2.96811e-05,2.55865e-07,22.7456,1.00109,0.0465246,0.034836,1,1.00169,1.00039,1.00071,0,0,0,0,27.3314
Airfoil,2,3.66807e-07,9.53502e-06,3.11596e-07,14.8573,1.00112,0.0250899,0.0312981,1,1.0008,1.00057,1.00054,0,0,0,0,31.7052
Airfoil,3,3.66807e-07,9.53502e-06,3.11596e-07,14.8573,1.00112,0.0250899,0.0312981,0,0.0401133,1.00057,1.00054,0,0,0,0,31.7052
Airfoil,4,2.59998e-07,4.70477e-05,2.20888e-07,28.3072,1.00123,0.0680241,0.0379557,0,0.0778968,1.0005,1.00073,0,0,0,0,24.6116
Airfoil,5,2.59998e-07,4.70477e-05,2.20888e-07,28.3072,1.00123,0.0680241,0.0379557,1,1.00303,1.0005,1.00073,0,0,0,0,24.6116
Airfoil,6,2.41517e-07,5.4987e-05,2.05213e-07,31.1095,1.00108,0.0895864,0.0406069,0,0.0983597,1.00037,1.0007,0,0,0,0,23.3939
Airfoil,7,2.41517e-07,5.4987e-05,2.05213e-07,31.1095,1.00108,0.0895864,0.0406069,1,1.00483,1.00037,1.0007,0,0,0,0,23.3939
Airfoil,8,2.35984e-07,5.8202e-05,2.00538e-07,32.6456,1.0009,0.111204,0.0427667,0,0.119144,1.00024,1.00066,0,0,0,0,23.03
Airfoil,9,2.35984e-07,5.8202e-05,2.00538e-07,32.6456,1.0009,0.111204,0.0427667,1,1.00707,1.00024,1.00066,0,0,0,0,23.03
Airfoil,10,2.33075e-07,5.99177e-05,1.98079e-07,33.73,1.00079,0.132853,0.0445773,0,0.140132,1.00017,1.00062,0,0,0,0,22.8389
Airfoil,11,2.33075e-07,5.99177e-05,1.98079e-07,33.73,1.00079,0.132853,0.0445773,1,1.00977,1.00017,1.00062,0,0,0,0,22.8389
Airfoil,12,2.26417e-07,6.05101e-05,1.92427e-07,34.4755,1.00074,0.154533,0.0459718,0,0.161226,1.00014,1.0006,0,0,0,0,22.4008
Airfoil,13,2.26417e-07,6.05101e-05,1.92427e-07,34.4755,1.00074,0.154533,0.0459718,1,1.01291,1.00014,1.0006,0,0,0,0,22.4008
Airfoil,14,2.19592e-07,6.01127e-05,1.86624e-07,34.7623,1.00074,0.176232,0.0470281,0,0.182399,1.00016,1.00058,0,0,0,0,21.9516
Airfoil,15,2.19592e-07,6.01127e-05,1.86624e-07,34.7623,1.00074,0.176232,0.0470281,1,1.0165,1.00016,1.00058,0,0,0,0,21.9516
Airfoil,16,2.16932e-07,5.97827e-05,1.84355e-07,34.8449,1.00077,0.19794,0.0479093,0,0.203655,1.0002,1.00056,0,0,0,0,21.7766
Airfoil,17,2.16932e-07,5.97827e-05,1.84355e-07,34.8449,1.00077,0.19794,0.0479093,1,1.02053,1.0002,1.00056,0,0,0,0,21.7766
Airfoil,18,2.18764e-07,6.04356e-05,1.85904e-07,35.0504,1.00078,0.21965,0.0487197,0,0.224988,1.00024,1.00054,0,0,0,0,21.8975
Airfoil,19,2.18764e-07,6.04356e-05,1.85904e-07,35.0504,1.00078,0.21965,0.0487197,1,1.025,1.00024,1.00054,0,0,0,0,21.8975
Airfoil,20,2.23631e-07,6.22062e-05,1.90037e-07,35.4678,1.00078,0.241361,0.0494917,0,0.246383,1.00026,1.00052,0,0,0,0,22.2182
