Time;Cd;Cl
1.0;20.365538;-29.0613172
2.0;1.13398125;-9.69846176
3.0;-4.43298576;1.21079229
4.0;-1.51308324;3.55099407
5.0;0.44977835;1.2140063
6.0;0.284652868;-0.287905914
7.0;0.123731834;-0.612305756
8.0;-0.0225695162;-0.258476996
9.0;0.207294918;-0.220435063
10.0;0.162652432;-0.14522289
11.0;0.17169339;-0.220950517
12.0;0.0792471473;-0.16350453
13.0;0.0915215032;-0.214811728
14.0;0.0543133969;-0.192326787
15.0;0.0739927601;-0.245270981
16.0;0.0591739213;-0.220714373
17.0;0.0758493879;-0.232735037
18.0;0.0696511195;-0.201942774
19.0;0.0788295101;-0.221743842
20.0;0.0740986216;-0.220239
21.0;0.0748618518;-0.242337436
22.0;0.0704520499;-0.240076517
23.0;0.0677991269;-0.250789227
24.0;0.0661383437;-0.246597316
25.0;0.0629022613;-0.251465657
26.0;0.0637972005;-0.250146306
27.0;0.0606402482;-0.255474368
28.0;0.0630903405;-0.260256091
29.0;0.0595371847;-0.265114648
30.0;0.0617509382;-0.269277698
31.0;0.0575045437;-0.268426779
32.0;0.0601636099;-0.273649234
33.0;0.0563884844;-0.274578639
34.0;0.0592949261;-0.28235837
35.0;0.055809411;-0.280651357
36.0;0.0579144298;-0.28666725
37.0;0.0547870922;-0.285007842
38.0;0.056497926;-0.292138202
39.0;0.0539253919;-0.289939764
40.0;0.0550233431;-0.29657828
41.0;0.0534210622;-0.295160973
42.0;0.0540052622;-0.301399764
43.0;0.0530805343;-0.300416248
44.0;0.052892474;-0.306011542
45.0;0.052832568;-0.305170688
46.0;0.052234168;-0.309905542
47.0;0.0526269588;-0.309657836
48.0;0.0513572498;-0.313709848
49.0;0.0522406074;-0.314424225
50.0;0.0508302555;-0.317572688
51.0;0.0522343736;-0.318780786
52.0;0.0507024484;-0.320929807
53.0;0.0522133452;-0.322853321
54.0;0.050596047;-0.32433736
55.0;0.0519796994;-0.327035024
56.0;0.0503977781;-0.327878599
57.0;0.0515315591;-0.331226137
58.0;0.0502526035;-0.33151134
59.0;0.0511243438;-0.335036424
60.0;0.0502767592;-0.334933303
61.0;0.0507375595;-0.338713274
62.0;0.0503709925;-0.338439634
63.0;0.0504031212;-0.342306134
64.0;0.0504496248;-0.342025156
65.0;0.0500033166;-0.345784016
66.0;0.0504075908;-0.34559259
67.0;0.0496227203;-0.348969199
68.0;0.0503467992;-0.349114941
69.0;0.0493042664;-0.351914449
70.0;0.0501916267;-0.352656621
71.0;0.0489793103;-0.354809004
72.0;0.0499714798;-0.356089036
73.0;0.048766943;-0.357606639
74.0;0.0497584199;-0.359409044
75.0;0.0486749906;-0.360304048
76.0;0.0495448913;-0.362529988
77.0;0.0486515222;-0.362965924
78.0;0.0492717122;-0.365500882
79.0;0.0486375862;-0.365675599
80.0;0.0489184969;-0.368360791
81.0;0.0485886588;-0.368417196
82.0;0.0485240303;-0.371082903
83.0;0.0485150699;-0.371131988
84.0;0.0481435451;-0.373650921
85.0;0.0484301222;-0.373802219
86.0;0.0478092655;-0.376071465
87.0;0.0483412809;-0.376562867
88.0;0.0475376475;-0.378308579
89.0;0.0482505007;-0.379217652
90.0;0.0473346792;-0.380441841
91.0;0.0481313438;-0.381877825
92.0;0.0471525739;-0.382608364
93.0;0.0479408401;-0.384463122
94.0;0.0470132889;-0.384934801
95.0;0.0476695672;-0.386887454
96.0;0.0468736546;-0.387046569
97.0;0.047372684;-0.389244707
98.0;0.0467863978;-0.389332406
99.0;0.0470702485;-0.391569506
100.0;0.0467273791;-0.391653858
101.0;0.0467644245;-0.393760538
102.0;0.0466886708;-0.393949974
103.0;0.0464988568;-0.395931353
104.0;0.046651136;-0.396246606
105.0;0.0462708113;-0.398046931
106.0;0.0466137478;-0.398576809
107.0;0.0460911538;-0.400077851
108.0;0.04656359;-0.400911675
109.0;0.0459451492;-0.402044079
110.0;0.0465015333;-0.403272456
111.0;0.0458195799;-0.403921167
112.0;0.0464051597;-0.405491317
113.0;0.0457568023;-0.405926303
114.0;0.0462909006;-0.40765791
115.0;0.0457218749;-0.407827368
116.0;0.0461487146;-0.409691123
117.0;0.0457410248;-0.409934792
118.0;0.046007435;-0.411819578
119.0;0.0457755801;-0.412044512
120.0;0.045858977;-0.413865621
121.0;0.0458097796;-0.414152176
122.0;0.0457096834;-0.415873228
123.0;0.0458304863;-0.416270503
124.0;0.0455786732;-0.417900996
125.0;0.0458412064;-0.418477533
126.0;0.0454656032;-0.419867026
127.0;0.0458296112;-0.420646456
128.0;0.0453873446;-0.421844414
129.0;0.0458021452;-0.422841148
130.0;0.0453157366;-0.423673823
131.0;0.0457590035;-0.424943822
132.0;0.0452836132;-0.425580605
133.0;0.0456985828;-0.427014089
134.0;0.0452847125;-0.427502961
135.0;0.0456148338;-0.428994028
136.0;0.0453140999;-0.429446106
137.0;0.0455067864;-0.430853562
138.0;0.0453602599;-0.431381665
139.0;0.0454047814;-0.432759648
140.0;0.0454025054;-0.433293098
141.0;0.045306629;-0.434616858
142.0;0.0454376124;-0.43519317
143.0;0.0452183898;-0.436447686
144.0;0.0454569867;-0.437090105
145.0;0.0451422907;-0.438230894
146.0;0.0454602232;-0.438994113
147.0;0.0450830379;-0.439977757
148.0;0.0454480762;-0.440896514
149.0;0.0450415224;-0.441703909
150.0;0.0454171453;-0.442769121
151.0;0.0450169826;-0.443423662
152.0;0.0453670755;-0.444608792
153.0;0.0450091777;-0.445161816
154.0;0.0452973301;-0.446408159
155.0;0.0450219628;-0.446937562
156.0;0.045197726;-0.448086344
157.0;0.0450502956;-0.448722485
158.0;0.0451046062;-0.449845283
159.0;0.0450767843;-0.450495439
160.0;0.0450086799;-0.451550303
161.0;0.0450899851;-0.452216025
162.0;0.0449204273;-0.453234779
163.0;0.0450996819;-0.453963895
164.0;0.0448449446;-0.454900909
165.0;0.0450986568;-0.455707679
166.0;0.0447808515;-0.456525434
167.0;0.0450838044;-0.457438046
168.0;0.0447293833;-0.458124231
169.0;0.0450545701;-0.459149559
170.0;0.0447027323;-0.459766957
171.0;0.0449965407;-0.460757394
172.0;0.04468704;-0.461348918
173.0;0.0449365969;-0.462412683
174.0;0.0446844598;-0.462954724
175.0;0.0448667647;-0.464031043
176.0;0.0446910847;-0.464547844
177.0;0.0447896221;-0.465606736
178.0;0.0447078017;-0.466154624
179.0;0.0447058317;-0.467123835
180.0;0.0447158651;-0.467697526
181.0;0.0446337584;-0.468672279
182.0;0.0447206062;-0.469258729
183.0;0.04457262;-0.470198192
184.0;0.0447173638;-0.470804325
185.0;0.0445206147;-0.471678048
186.0;0.0447042733;-0.472339145
187.0;0.0444782374;-0.473132109
188.0;0.0446814579;-0.47386242
189.0;0.0444462082;-0.474567255
190.0;0.0446492031;-0.475371206
191.0;0.0444253799;-0.475993761
192.0;0.0446085072;-0.476858057
193.0;0.0444154021;-0.477412366
194.0;0.0445594613;-0.478315058
195.0;0.0444136524;-0.478825704
196.0;0.0445043095;-0.479747024
197.0;0.0444218596;-0.480254415
198.0;0.0444422151;-0.481129045
199.0;0.044423578;-0.481631562
200.0;0.0443885972;-0.482535872
201.0;0.0444242042;-0.483023387
202.0;0.0443424405;-0.483926218
203.0;0.0444194828;-0.484399516
204.0;0.0443017608;-0.485272322
205.0;0.044407527;-0.485768828
206.0;0.0442673066;-0.486593756
207.0;0.0443892536;-0.487135959
208.0;0.044240162;-0.487897403
209.0;0.044364385;-0.488493943
210.0;0.0442202037;-0.489186216
211.0;0.0443331068;-0.489838865
212.0;0.0442066117;-0.490463511
213.0;0.0442960613;-0.491168892
214.0;0.0441980073;-0.491732848
215.0;0.0442541514;-0.492478817
216.0;0.0441930648;-0.492998725
217.0;0.0442104826;-0.493774711
218.0;0.0441890168;-0.494262615
219.0;0.0441674222;-0.495057784
220.0;0.0441835829;-0.495522527
221.0;0.0441281623;-0.496326003
222.0;0.0441724829;-0.496765976
223.0;0.0440937789;-0.49759181
224.0;0.0441558909;-0.498021536
225.0;0.0440637475;-0.49883016
226.0;0.0441341226;-0.49927778
227.0;0.0440378284;-0.500051012
228.0;0.0441083445;-0.500536264
229.0;0.0440150811;-0.501255138
230.0;0.0440783526;-0.501789656
231.0;0.0439955745;-0.502449891
232.0;0.0440435986;-0.503033238
