# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	2.03655380e+01	2.47134276e+01	-4.34788960e+00	-2.90613172e+01	7.80862859e+00	-3.68699458e+01	2.23392872e+01	1.45306586e+01	1.01827690e+01	2.56732739e-19	1.01827690e+01	-1.01827690e+01
2               	1.13398125e+00	5.41622151e+00	-4.28224026e+00	-9.69846176e+00	1.35917531e+00	-1.10576371e+01	6.20840620e+00	4.84923088e+00	5.66990623e-01	1.73940675e-19	5.66990623e-01	-5.66990623e-01
3               	-4.43298576e+00	-2.82188903e+00	-1.61109673e+00	1.21079229e+00	-1.26025263e+00	2.47104492e+00	-1.86564877e+00	-6.05396146e-01	-2.21649288e+00	1.62829900e-19	-2.21649288e+00	2.21649288e+00
4               	-1.51308324e+00	-2.53203865e+00	1.01895542e+00	3.55099407e+00	-1.15583585e+00	4.70682992e+00	-2.93133289e+00	-1.77549704e+00	-7.56541618e-01	1.68903957e-19	-7.56541618e-01	7.56541618e-01
5               	4.49778350e-01	-3.82113976e-01	8.31892327e-01	1.21400630e+00	-3.52272264e-01	1.56627857e+00	-9.59275415e-01	-6.07003152e-01	2.24889175e-01	1.66845847e-19	2.24889175e-01	-2.24889175e-01
6               	2.84652868e-01	2.86279391e-01	-1.62652295e-03	-2.87905914e-01	-5.29875748e-03	-2.82607157e-01	1.38654200e-01	1.43952957e-01	1.42326434e-01	1.69230926e-19	1.42326434e-01	-1.42326434e-01
7               	1.23731834e-01	3.68018795e-01	-2.44286961e-01	-6.12305756e-01	1.08072051e-01	-7.20377807e-01	4.14224929e-01	3.06152878e-01	6.18659169e-02	1.68719651e-19	6.18659169e-02	-6.18659169e-02
8               	-2.25695162e-02	1.17953740e-01	-1.40523256e-01	-2.58476996e-01	9.13498919e-03	-2.67611985e-01	1.38373487e-01	1.29238498e-01	-1.12847581e-02	1.66683562e-19	-1.12847581e-02	1.12847581e-02
9               	2.07294918e-01	2.13864991e-01	-6.57007231e-03	-2.20435063e-01	5.63639452e-03	-2.26071457e-01	1.15853926e-01	1.10217531e-01	1.03647459e-01	1.64769425e-19	1.03647459e-01	-1.03647459e-01
10              	1.62652432e-01	1.53937661e-01	8.71477065e-03	-1.45222890e-01	-3.16066659e-02	-1.13616224e-01	4.10047793e-02	7.26114452e-02	8.13262158e-02	1.63636589e-19	8.13262158e-02	-8.13262158e-02
