# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1001            	2.60154729e-02	3.94939006e-01	-3.68923533e-01	-7.63862538e-01	-8.75826668e-02	-6.76279871e-01	2.94348602e-01	3.81931269e-01	1.30077365e-02	1.60300725e-19	1.30077365e-02	-1.30077365e-02
1002            	2.59920764e-02	3.95006015e-01	-3.69013939e-01	-7.64019954e-01	-8.76410833e-02	-6.76378871e-01	2.94368894e-01	3.82009977e-01	1.29960382e-02	1.60301027e-19	1.29960382e-02	-1.29960382e-02
1003            	2.59693479e-02	3.95067206e-01	-3.69097858e-01	-7.64165065e-01	-8.76903306e-02	-6.76474734e-01	2.94392202e-01	3.82082532e-01	1.29846739e-02	1.60301396e-19	1.29846739e-02	-1.29846739e-02
1004            	2.59533730e-02	3.95112560e-01	-3.69159187e-01	-7.64271747e-01	-8.77270536e-02	-6.76544693e-01	2.94408820e-01	3.82135873e-01	1.29766865e-02	1.60301551e-19	1.29766865e-02	-1.29766865e-02
1005            	2.59378065e-02	3.95154382e-01	-3.69216575e-01	-7.64370957e-01	-8.77627699e-02	-6.76608187e-01	2.94422709e-01	3.82185479e-01	1.29689033e-02	1.60301663e-19	1.29689033e-02	-1.29689033e-02
1006            	2.59216173e-02	3.95194842e-01	-3.69273225e-01	-7.64468067e-01	-8.77991537e-02	-6.76668913e-01	2.94434880e-01	3.82234033e-01	1.29608087e-02	1.60301800e-19	1.29608087e-02	-1.29608087e-02
1007            	2.59054333e-02	3.95237883e-01	-3.69332450e-01	-7.64570333e-01	-8.78369402e-02	-6.76733392e-01	2.94448226e-01	3.82285166e-01	1.29527167e-02	1.60301961e-19	1.29527167e-02	-1.29527167e-02
1008            	2.58891764e-02	3.95282005e-01	-3.69392829e-01	-7.64674835e-01	-8.78753886e-02	-6.76799446e-01	2.94462029e-01	3.82337417e-01	1.29445882e-02	1.60302158e-19	1.29445882e-02	-1.29445882e-02
1009            	2.58725286e-02	3.95328891e-01	-3.69456363e-01	-7.64785254e-01	-8.79149095e-02	-6.76870345e-01	2.94477718e-01	3.82392627e-01	1.29362643e-02	1.60302347e-19	1.29362643e-02	-1.29362643e-02
1010            	2.58557721e-02	3.95376058e-01	-3.69520286e-01	-7.64896344e-01	-8.79543030e-02	-6.76942041e-01	2.94493869e-01	3.82448172e-01	1.29278861e-02	1.60302532e-19	1.29278861e-02	-1.29278861e-02
1011            	2.58385694e-02	3.95422783e-01	-3.69584213e-01	-7.65006996e-01	-8.79940178e-02	-6.77012978e-01	2.94509480e-01	3.82503498e-01	1.29192847e-02	1.60302720e-19	1.29192847e-02	-1.29192847e-02
1012            	2.58212651e-02	3.95468218e-01	-3.69646953e-01	-7.65115171e-01	-8.80333976e-02	-6.77081773e-01	2.94524188e-01	3.82557585e-01	1.29106325e-02	1.60302908e-19	1.29106325e-02	-1.29106325e-02
1013            	2.58044819e-02	3.95512293e-01	-3.69707811e-01	-7.65220104e-01	-8.80717430e-02	-6.77148361e-01	2.94538309e-01	3.82610052e-01	1.29022410e-02	1.60303085e-19	1.29022410e-02	-1.29022410e-02
1014            	2.57874724e-02	3.95557580e-01	-3.69770108e-01	-7.65327687e-01	-8.81107836e-02	-6.77216904e-01	2.94553060e-01	3.82663844e-01	1.28937362e-02	1.60303268e-19	1.28937362e-02	-1.28937362e-02
1015            	2.57711355e-02	3.95601749e-01	-3.69830613e-01	-7.65432362e-01	-8.81487537e-02	-6.77283608e-01	2.94567427e-01	3.82716181e-01	1.28855678e-02	1.60303444e-19	1.28855678e-02	-1.28855678e-02
1016            	2.57549151e-02	3.95645475e-01	-3.69890560e-01	-7.65536035e-01	-8.81865136e-02	-6.77349522e-01	2.94581504e-01	3.82768018e-01	1.28774576e-02	1.60303608e-19	1.28774576e-02	-1.28774576e-02
1017            	2.57384539e-02	3.95688754e-01	-3.69950300e-01	-7.65639054e-01	-8.82243632e-02	-6.77414691e-01	2.94595164e-01	3.82819527e-01	1.28692269e-02	1.60303797e-19	1.28692269e-02	-1.28692269e-02
1018            	2.57218183e-02	3.95733681e-01	-3.70011862e-01	-7.65745543e-01	-8.82629980e-02	-6.77482545e-01	2.94609773e-01	3.82872771e-01	1.28609091e-02	1.60303977e-19	1.28609091e-02	-1.28609091e-02
1019            	2.57049570e-02	3.95780053e-01	-3.70075096e-01	-7.65855149e-01	-8.83022442e-02	-6.77552904e-01	2.94625330e-01	3.82927574e-01	1.28524785e-02	1.60304165e-19	1.28524785e-02	-1.28524785e-02
1020            	2.56885535e-02	3.95823901e-01	-3.70135347e-01	-7.65959248e-01	-8.83400308e-02	-6.77619218e-01	2.94639593e-01	3.82979624e-01	1.28442768e-02	1.60304336e-19	1.28442768e-02	-1.28442768e-02
1021            	2.56721598e-02	3.95866992e-01	-3.70194832e-01	-7.66061824e-01	-8.83775732e-02	-6.77684251e-01	2.94653339e-01	3.83030912e-01	1.28360799e-02	1.60304506e-19	1.28360799e-02	-1.28360799e-02
1022            	2.56557185e-02	3.95910396e-01	-3.70254677e-01	-7.66165073e-01	-8.84152916e-02	-6.77749781e-01	2.94667245e-01	3.83082536e-01	1.28278592e-02	1.60304679e-19	1.28278592e-02	-1.28278592e-02
1023            	2.56391676e-02	3.95954140e-01	-3.70314972e-01	-7.66269112e-01	-8.84532918e-02	-6.77815820e-01	2.94681264e-01	3.83134556e-01	1.28195838e-02	1.60304858e-19	1.28195838e-02	-1.28195838e-02
