Block Name,Point ID,vtkOriginalPointIds,alphat,div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus
Airfoil,0,0,1.15887e-11,-2.55436e-06,4.20861e-07,0,0,0,0,0,9.85745e-12,18382.7,1.00029,0.0346307,0.0329293,0,0.0477873,0.999439,1.00078,0,0,0,0,0.690875
Airfoil,1,1,1.15887e-11,-2.55436e-06,4.20861e-07,0,0,0,0,0,9.85745e-12,18382.7,1.00029,0.0346307,0.0329293,1,1.00114,0.999439,1.00078,0,0,0,0,0.690875
Airfoil,2,2,1.01038e-11,-4.7112e-07,3.54615e-07,0,0,0,0,0,8.59566e-12,17106.5,1.00012,0.0250899,0.0312981,1,1.0008,0.999293,1.00076,0,0,0,0,0.644001
Airfoil,3,3,1.01038e-11,-4.7112e-07,3.54615e-07,0,0,0,0,0,8.59566e-12,17106.5,1.00012,0.0250899,0.0312981,0,0.0401133,0.999293,1.00076,0,0,0,0,0.644001
Airfoil,4,4,1.00608e-11,3.50242e-07,3.68313e-07,0,0,0,0,0,8.55298e-12,18847.5,1.00071,0.0441886,0.0344597,0,0.0560366,0.999851,1.0008,0,0,0,0,0.664533
Airfoil,5,5,1.00608e-11,3.50242e-07,3.68313e-07,0,0,0,0,0,8.55298e-12,18847.5,1.00071,0.0441886,0.0344597,1,1.00157,0.999851,1.0008,0,0,0,0,0.664533
Airfoil,6,6,1.38284e-11,2.04062e-07,5.56179e-07,0,0,0,0,0,1.17562e-11,19222.2,1.00066,0.0537591,0.0359076,0,0.0646482,0.99982,1.00077,0,0,0,0,0.742681
Airfoil,7,7,1.38284e-11,2.04062e-07,5.56179e-07,0,0,0,0,0,1.17562e-11,19222.2,1.00066,0.0537591,0.0359076,1,1.00209,0.99982,1.00077,0,0,0,0,0.742681
Airfoil,8,8,1.46299e-11,-1.6374e-07,6.10407e-07,0,0,0,0,0,1.24387e-11,19710.8,1.00055,0.0633348,0.0373213,0,0.0735132,0.999735,1.00075,0,0,0,0,0.756983
Airfoil,9,9,1.46299e-11,-1.6374e-07,6.10407e-07,0,0,0,0,0,1.24387e-11,19710.8,1.00055,0.0633348,0.0373213,1,1.0027,0.999735,1.00075,0,0,0,0,0.756983
