Time;Cd;Cl
1.0;45.3377847;-135.0558
2.0;32.9798439;-104.651785
3.0;1.06410456;24.9465658
4.0;-10.1944763;43.038306
5.0;-5.20271887;6.12967563
6.0;0.152820537;-16.3446456
7.0;1.84331931;-13.3939375
8.0;1.10527327;-1.05975318
9.0;0.353111409;4.90448918
10.0;-0.0322309959;4.06121621
11.0;-0.0368588488;0.222512222
12.0;-0.00679795095;-2.0761431
13.0;0.0432092338;-2.37115136
14.0;0.0778774661;-1.30645863
15.0;0.113973725;-0.473910293
16.0;0.122102297;-0.144498112
17.0;0.116458207;-0.267308095
18.0;0.0937810048;-0.52650486
19.0;0.0793341641;-0.731904013
20.0;0.0701291339;-0.76929076
21.0;0.0734905753;-0.747526886
22.0;0.0782564364;-0.677961675
23.0;0.0829290466;-0.653975955
24.0;0.08304228;-0.629401546
25.0;0.0806005638;-0.625686717
26.0;0.0757984465;-0.632449587
27.0;0.0724106842;-0.652001855
28.0;0.0709357412;-0.659672082
29.0;0.0705957572;-0.664371745
30.0;0.071397842;-0.661765603
31.0;0.0712110933;-0.655677013
32.0;0.0707783253;-0.654060604
33.0;0.0698753583;-0.654815993
34.0;0.0690822781;-0.660076859
35.0;0.0685970537;-0.668019678
36.0;0.0684655853;-0.675022904
37.0;0.0678241185;-0.67559107
38.0;0.0672413321;-0.675327532
39.0;0.0662066806;-0.669265204
40.0;0.0653753462;-0.665239804
41.0;0.0647082641;-0.664042576
42.0;0.0643235675;-0.666060105
43.0;0.0640436704;-0.669412009
44.0;0.0638737696;-0.67318612
45.0;0.0637691727;-0.676918526
46.0;0.063713089;-0.680194523
47.0;0.0634459615;-0.680934575
48.0;0.0629101065;-0.67978422
49.0;0.0622678629;-0.677382799
50.0;0.061851706;-0.677004246
51.0;0.061420306;-0.677176371
52.0;0.0611476126;-0.678712021
53.0;0.0609673787;-0.68042074
54.0;0.0608163616;-0.682327316
55.0;0.0606279453;-0.683419324
56.0;0.0604996671;-0.685760145
57.0;0.0602470687;-0.686266556
58.0;0.0597254732;-0.684838794
59.0;0.0590591644;-0.682074696
60.0;0.0584170765;-0.679735283
61.0;0.0581317795;-0.679852337
62.0;0.0578982954;-0.680741531
63.0;0.0577908737;-0.683371187
64.0;0.0577879065;-0.686032322
65.0;0.0577935413;-0.688356728
66.0;0.0576531977;-0.689177713
67.0;0.057455579;-0.689700911
68.0;0.0570561683;-0.689265244
69.0;0.0565584416;-0.687761134
70.0;0.0562304864;-0.687401229
71.0;0.0560341107;-0.688158143
72.0;0.0559991993;-0.690665768
73.0;0.0561099807;-0.693852598
74.0;0.0561836071;-0.696310776
75.0;0.0561243842;-0.697537472
76.0;0.0559822854;-0.698283382
77.0;0.055757291;-0.698631111
78.0;0.0554572622;-0.69873585
79.0;0.0551429947;-0.698960573
80.0;0.0551020921;-0.700314788
81.0;0.0553464976;-0.704166418
82.0;0.0556587567;-0.708013726
83.0;0.0557780384;-0.71020151
84.0;0.0557477817;-0.711263066
85.0;0.0556224257;-0.71165998
86.0;0.0554240661;-0.712129928
87.0;0.0551963204;-0.712888598
88.0;0.055181734;-0.71414453
89.0;0.0554621518;-0.718261357
90.0;0.0557876921;-0.721982226
91.0;0.0559113714;-0.723879293
92.0;0.055914984;-0.724842612
93.0;0.0558425726;-0.725437221
94.0;0.0557367628;-0.72618014
95.0;0.0556365982;-0.727860927
96.0;0.0556657207;-0.729179661
97.0;0.0560004195;-0.733426164
98.0;0.0562226995;-0.73607873
99.0;0.0563425437;-0.737778961
100.0;0.0563188422;-0.738364749
101.0;0.0562483458;-0.738876374
102.0;0.0561968839;-0.739795057
103.0;0.0562381533;-0.742266322
104.0;0.0563395155;-0.744199139
105.0;0.0566606206;-0.747946637
106.0;0.0568039944;-0.749836884
107.0;0.056853903;-0.750934461
108.0;0.0568305299;-0.751480577
109.0;0.0568180423;-0.752587768
110.0;0.056840901;-0.753948355
111.0;0.0570367259;-0.757272147
112.0;0.0572141653;-0.759700456
113.0;0.057383691;-0.761881563
114.0;0.057510355;-0.763596744
115.0;0.0575111342;-0.764212495
116.0;0.0575114346;-0.765129299
117.0;0.0575411983;-0.766181245
118.0;0.0576589418;-0.768165437
119.0;0.0580545236;-0.772632195
120.0;0.0581943419;-0.774156432
121.0;0.0582539816;-0.775060744
122.0;0.0582612551;-0.775612058
123.0;0.0583144257;-0.776754526
124.0;0.0583881503;-0.777987053
125.0;0.0586173998;-0.780876898
126.0;0.0587293862;-0.78225527
127.0;0.0589166718;-0.78438393
128.0;0.0590927777;-0.786415366
129.0;0.0592466052;-0.78829647
130.0;0.0592774056;-0.78892383
131.0;0.0592979416;-0.789645048
132.0;0.0593590854;-0.790726015
133.0;0.0595499858;-0.793076075
134.0;0.0598325675;-0.796006174
135.0;0.0600091019;-0.797817344
136.0;0.0600886953;-0.798903997
137.0;0.0601296147;-0.799733186
138.0;0.0601747508;-0.800591158
139.0;0.060252456;-0.80181331
140.0;0.0604233415;-0.803869579
141.0;0.0606635966;-0.806338684
142.0;0.0608456763;-0.80810316
143.0;0.0609218604;-0.809096971
144.0;0.0610048872;-0.810258163
145.0;0.0611041126;-0.811601323
146.0;0.0611827737;-0.812734699
147.0;0.061342123;-0.814586023
148.0;0.0615360341;-0.816632971
149.0;0.061713003;-0.818451903
150.0;0.0618217664;-0.819730743
151.0;0.0619088169;-0.820839676
152.0;0.0620005208;-0.821996044
153.0;0.0621295931;-0.823496895
154.0;0.0623118683;-0.82533071
155.0;0.0625064058;-0.827202086
156.0;0.0626815676;-0.828833787
157.0;0.0628108418;-0.830007564
158.0;0.0629348375;-0.831102456
159.0;0.0630537617;-0.832207537
160.0;0.0632020251;-0.833535401
161.0;0.0633965192;-0.835193352
162.0;0.063608231;-0.836986955
163.0;0.0637854994;-0.838517989
164.0;0.0639158475;-0.839672781
165.0;0.0640529814;-0.840842131
166.0;0.0642172553;-0.842205239
167.0;0.0643693055;-0.843436649
168.0;0.06454095;-0.844830591
169.0;0.0646642659;-0.845915842
170.0;0.0648376892;-0.847426911
171.0;0.0649837563;-0.848641153
172.0;0.0651487266;-0.849931689
173.0;0.0653654625;-0.851573673
174.0;0.0655382704;-0.852884546
175.0;0.0656356568;-0.853721643
176.0;0.0657609782;-0.854809069
177.0;0.0659038757;-0.85599859
178.0;0.0660499455;-0.857169276
179.0;0.0661995658;-0.858366082
180.0;0.0663680164;-0.859717664
181.0;0.0665216517;-0.86097981
182.0;0.0666794003;-0.862273095
183.0;0.0668396124;-0.86359583
184.0;0.0669799234;-0.864745729
185.0;0.067116431;-0.865856755
186.0;0.0672600015;-0.86697605
187.0;0.0673968016;-0.868069845
188.0;0.067553987;-0.869335927
189.0;0.0676843078;-0.870447764
190.0;0.0678174041;-0.871579761
191.0;0.0679731586;-0.872805289
192.0;0.0681151775;-0.873948951
193.0;0.0682707835;-0.87516417
194.0;0.0684227459;-0.876328835
195.0;0.0685809886;-0.877529915
196.0;0.0687279371;-0.878649856
197.0;0.0688571036;-0.879596358
198.0;0.0690227557;-0.880732083
199.0;0.0691427333;-0.881540927
200.0;0.0692724728;-0.882417232
201.0;0.0694254859;-0.8834427
202.0;0.0695777117;-0.884469431
203.0;0.0697259684;-0.885484607
204.0;0.0699010833;-0.886648423
205.0;0.0700363727;-0.887552291
206.0;0.0701671531;-0.888408089
207.0;0.0703042737;-0.889313202
208.0;0.0704405344;-0.890238047
209.0;0.0705713902;-0.891121776
210.0;0.0707160329;-0.892075534
211.0;0.0708561909;-0.892979328
212.0;0.070987941;-0.893811025
213.0;0.0711562406;-0.89480697
214.0;0.0712765711;-0.895542043
215.0;0.0713977533;-0.89630854
216.0;0.0715330969;-0.897169208
217.0;0.0716371853;-0.897855657
218.0;0.0717714168;-0.898709175
219.0;0.0719215018;-0.899661194
220.0;0.0720654864;-0.900564524
221.0;0.0721767015;-0.901275659
222.0;0.0722899745;-0.901995906
223.0;0.0724083866;-0.902757174
224.0;0.0725219562;-0.903491342
225.0;0.0726547812;-0.90431656
226.0;0.0727827286;-0.905122738
227.0;0.0729232538;-0.905988715
228.0;0.0730293818;-0.906676238
229.0;0.0731163758;-0.90727335
