# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	3.62146721e+01	-5.40539762e+01	9.02686483e+01	-1.44322624e+02	4.05251566e+00	-1.48375140e+02	7.62138279e+01	-7.21613122e+01	-1.81073361e+01	-2.75826298e-20	-1.81073361e+01	1.81073361e+01
2               	3.11283935e+01	-4.05707953e+01	7.16991887e+01	-1.12269984e+02	1.16112311e+01	-1.23881215e+02	6.77462231e+01	-5.61349920e+01	-1.55641967e+01	-3.51635309e-20	-1.55641967e+01	1.55641967e+01
3               	1.67768433e+00	1.22549602e+01	-1.05772759e+01	2.28322362e+01	4.98474451e+00	1.78474916e+01	-6.43137357e+00	1.14161181e+01	-8.38842166e-01	-2.64814631e-20	-8.38842166e-01	8.38842166e-01
4               	-7.85856786e+00	1.94883452e+01	-2.73469130e+01	4.68352582e+01	5.33154848e-02	4.67819427e+01	-2.33643136e+01	2.34176291e+01	3.92928393e+00	-1.74870520e-20	3.92928393e+00	-3.92928393e+00
5               	-4.05733803e+00	3.59844282e+00	-7.65578085e+00	1.12542237e+01	-1.46840048e+00	1.27226242e+01	-7.09551232e+00	5.62711184e+00	2.02866902e+00	-1.45987025e-20	2.02866902e+00	-2.02866902e+00
6               	2.64010434e-01	-6.31112330e+00	6.57513373e+00	-1.28862570e+01	-1.47872056e+00	-1.14075365e+01	4.96440795e+00	-6.44312851e+00	-1.32005217e-01	-1.60695001e-20	-1.32005217e-01	1.32005217e-01
7               	1.24462978e+00	-5.86980235e+00	7.11443213e+00	-1.29842345e+01	-1.12091328e+00	-1.18633212e+01	5.37120396e+00	-6.49211724e+00	-6.22314888e-01	-1.82032464e-20	-6.22314888e-01	6.22314888e-01
8               	6.31529011e-01	-1.33512488e+00	1.96665389e+00	-3.30177878e+00	-3.65304924e-01	-2.93647385e+00	1.28558447e+00	-1.65088939e+00	-3.15764505e-01	-1.90910327e-20	-3.15764505e-01	3.15764505e-01
9               	1.42968557e-01	1.35421863e+00	-1.21125008e+00	2.56546871e+00	2.18794985e-01	2.34667373e+00	-1.06393937e+00	1.28273436e+00	-7.14842784e-02	-1.88645332e-20	-7.14842784e-02	7.14842784e-02
10              	4.63312863e-02	1.57045302e+00	-1.52412173e+00	3.09457475e+00	3.56239923e-01	2.73833483e+00	-1.19104745e+00	1.54728738e+00	-2.31656431e-02	-1.84367121e-20	-2.31656431e-02	2.31656431e-02
11              	9.68609492e-02	4.75044146e-01	-3.78183196e-01	8.53227342e-01	1.03321998e-01	7.49905343e-01	-3.23291673e-01	4.26613671e-01	-4.84304746e-02	-1.81914384e-20	-4.84304746e-02	4.84304746e-02
12              	9.51019304e-02	-4.31296031e-01	5.26397961e-01	-9.57693992e-01	-1.76706968e-01	-7.80987024e-01	3.02140028e-01	-4.78846996e-01	-4.75509652e-02	-1.81302323e-20	-4.75509652e-02	4.75509652e-02
13              	6.54809592e-02	-7.73353805e-01	8.38834764e-01	-1.61218857e+00	-3.09931398e-01	-1.30225717e+00	4.96162887e-01	-8.06094285e-01	-3.27404796e-02	-1.80560609e-20	-3.27404796e-02	3.27404796e-02
14              	5.00581434e-02	-6.35255921e-01	6.85314064e-01	-1.32056999e+00	-2.83366929e-01	-1.03720306e+00	3.76918064e-01	-6.60284993e-01	-2.50290717e-02	-1.79483610e-20	-2.50290717e-02	2.50290717e-02
15              	6.34190874e-02	-3.60517985e-01	4.23937072e-01	-7.84455057e-01	-1.96058509e-01	-5.88396548e-01	1.96169019e-01	-3.92227529e-01	-3.17095437e-02	-1.78404717e-20	-3.17095437e-02	3.17095437e-02
16              	8.59830154e-02	-1.76451541e-01	2.62434556e-01	-4.38886097e-01	-1.25727093e-01	-3.13159004e-01	9.37159558e-02	-2.19443049e-01	-4.29915077e-02	-1.77828340e-20	-4.29915077e-02	4.29915077e-02
17              	9.90927915e-02	-1.39159600e-01	2.38252391e-01	-3.77411991e-01	-1.03888053e-01	-2.73523938e-01	8.48179421e-02	-1.88705996e-01	-4.95463958e-02	-1.77308154e-20	-4.95463958e-02	4.95463958e-02
18              	9.62658099e-02	-1.84459525e-01	2.80725335e-01	-4.65184860e-01	-1.11812240e-01	-3.53372620e-01	1.20780190e-01	-2.32592430e-01	-4.81329049e-02	-1.76828542e-20	-4.81329049e-02	4.81329049e-02
19              	8.49365309e-02	-2.50469092e-01	3.35405623e-01	-5.85874714e-01	-1.33684995e-01	-4.52189719e-01	1.59252362e-01	-2.92937357e-01	-4.24682654e-02	-1.76475022e-20	-4.24682654e-02	4.24682654e-02
20              	7.28801370e-02	-2.95988530e-01	3.68868667e-01	-6.64857198e-01	-1.50943614e-01	-5.13913583e-01	1.81484984e-01	-3.32428599e-01	-3.64400685e-02	-1.76946942e-20	-3.64400685e-02	3.64400685e-02
21              	6.81338592e-02	-3.10679783e-01	3.78813642e-01	-6.89493425e-01	-1.56396204e-01	-5.33097221e-01	1.88350509e-01	-3.44746713e-01	-3.40669296e-02	-1.77222146e-20	-3.40669296e-02	3.40669296e-02
22              	6.87088180e-02	-3.08319755e-01	3.77028573e-01	-6.85348328e-01	-1.53356198e-01	-5.31992130e-01	1.89317966e-01	-3.42674164e-01	-3.43544090e-02	-1.77259844e-20	-3.43544090e-02	3.43544090e-02
