# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1501            	9.71344965e-02	-6.28473671e-01	7.25608167e-01	-1.35408184e+00	-1.29616431e-01	-1.22446541e+00	5.47424488e-01	-6.77040919e-01	-4.85672483e-02	-1.80276389e-20	-4.85672483e-02	4.85672483e-02
1502            	9.71426667e-02	-6.28650758e-01	7.25793425e-01	-1.35444418e+00	-1.29702524e-01	-1.22474166e+00	5.47519567e-01	-6.77222091e-01	-4.85713333e-02	-1.80282702e-20	-4.85713333e-02	4.85713333e-02
1503            	9.71539838e-02	-6.28829502e-01	7.25983486e-01	-1.35481299e+00	-1.29777347e-01	-1.22503564e+00	5.47629147e-01	-6.77406494e-01	-4.85769919e-02	-1.80289722e-20	-4.85769919e-02	4.85769919e-02
1504            	9.71561113e-02	-6.28932009e-01	7.26088120e-01	-1.35502013e+00	-1.29820417e-01	-1.22519971e+00	5.47689647e-01	-6.77510065e-01	-4.85780556e-02	-1.80296556e-20	-4.85780556e-02	4.85780556e-02
1505            	9.71528212e-02	-6.29021622e-01	7.26174443e-01	-1.35519607e+00	-1.29864795e-01	-1.22533127e+00	5.47733238e-01	-6.77598033e-01	-4.85764106e-02	-1.80303394e-20	-4.85764106e-02	4.85764106e-02
1506            	9.71496770e-02	-6.29107399e-01	7.26257076e-01	-1.35536447e+00	-1.29915938e-01	-1.22544854e+00	5.47766299e-01	-6.77682237e-01	-4.85748385e-02	-1.80310281e-20	-4.85748385e-02	4.85748385e-02
1507            	9.71486410e-02	-6.29186832e-01	7.26335473e-01	-1.35552230e+00	-1.29964830e-01	-1.22555748e+00	5.47796323e-01	-6.77761152e-01	-4.85743205e-02	-1.80317073e-20	-4.85743205e-02	4.85743205e-02
1508            	9.71566451e-02	-6.29282602e-01	7.26439247e-01	-1.35572185e+00	-1.30015038e-01	-1.22570681e+00	5.47845887e-01	-6.77860925e-01	-4.85783225e-02	-1.80323783e-20	-4.85783225e-02	4.85783225e-02
1509            	9.71592226e-02	-6.29384632e-01	7.26543854e-01	-1.35592849e+00	-1.30064231e-01	-1.22586426e+00	5.47900012e-01	-6.77964243e-01	-4.85796113e-02	-1.80330499e-20	-4.85796113e-02	4.85796113e-02
1510            	9.71683181e-02	-6.29503613e-01	7.26671931e-01	-1.35617554e+00	-1.30116745e-01	-1.22605880e+00	5.47971026e-01	-6.78087772e-01	-4.85841591e-02	-1.80337249e-20	-4.85841591e-02	4.85841591e-02
1511            	9.71758928e-02	-6.29619937e-01	7.26795829e-01	-1.35641577e+00	-1.30167572e-01	-1.22624819e+00	5.48040311e-01	-6.78207883e-01	-4.85879464e-02	-1.80344049e-20	-4.85879464e-02	4.85879464e-02
1512            	9.71838256e-02	-6.29732936e-01	7.26916761e-01	-1.35664970e+00	-1.30217307e-01	-1.22643239e+00	5.48107542e-01	-6.78324849e-01	-4.85919128e-02	-1.80350902e-20	-4.85919128e-02	4.85919128e-02
1513            	9.71965119e-02	-6.29843608e-01	7.27040120e-01	-1.35688373e+00	-1.30267562e-01	-1.22661617e+00	5.48174302e-01	-6.78441864e-01	-4.85982560e-02	-1.80357764e-20	-4.85982560e-02	4.85982560e-02
1514            	9.72024595e-02	-6.29941734e-01	7.27144193e-01	-1.35708593e+00	-1.30316755e-01	-1.22676917e+00	5.48226208e-01	-6.78542963e-01	-4.86012298e-02	-1.80364677e-20	-4.86012298e-02	4.86012298e-02
1515            	9.72224740e-02	-6.30046435e-01	7.27268909e-01	-1.35731534e+00	-1.30367839e-01	-1.22694750e+00	5.48289833e-01	-6.78657672e-01	-4.86112370e-02	-1.80371529e-20	-4.86112370e-02	4.86112370e-02
1516            	9.72274159e-02	-6.30140574e-01	7.27367990e-01	-1.35750856e+00	-1.30416501e-01	-1.22709206e+00	5.48337781e-01	-6.78754282e-01	-4.86137080e-02	-1.80378418e-20	-4.86137080e-02	4.86137080e-02
1517            	9.72512799e-02	-6.30247694e-01	7.27498974e-01	-1.35774667e+00	-1.30467096e-01	-1.22727957e+00	5.48406238e-01	-6.78873334e-01	-4.86256400e-02	-1.80385223e-20	-4.86256400e-02	4.86256400e-02
1518            	9.72684432e-02	-6.30353612e-01	7.27622055e-01	-1.35797567e+00	-1.30513953e-01	-1.22746171e+00	5.48473880e-01	-6.78987833e-01	-4.86342216e-02	-1.80392041e-20	-4.86342216e-02	4.86342216e-02
1519            	9.73266018e-02	-6.30482495e-01	7.27809097e-01	-1.35829159e+00	-1.30559526e-01	-1.22773207e+00	5.48586270e-01	-6.79145796e-01	-4.86633009e-02	-1.80398725e-20	-4.86633009e-02	4.86633009e-02
