# y+ ()         
# Time          	patch           	min             	max             	average         
0               	Floor	0.00000000e+00	0.00000000e+00	0.00000000e+00
0               	Airfoil	3.04132454e+00	7.45039594e+00	5.36335398e+00
250             	Floor	7.59426254e-02	2.06242919e+00	9.41152217e-01
250             	Airfoil	4.54513520e-01	4.49753515e+00	1.67139448e+00
500             	Floor	8.14783892e-02	2.12030339e+00	9.93347939e-01
500             	Airfoil	2.67685301e-01	4.83366509e+00	1.58383725e+00
750             	Floor	3.81644025e-03	2.23471573e+00	1.04285757e+00
750             	Airfoil	3.47054898e-01	4.92246068e+00	1.52219860e+00
1000            	Floor	4.86219636e-03	2.46589286e+00	1.09099302e+00
1000            	Airfoil	3.25665655e-01	4.93498112e+00	1.45924245e+00
1250            	Floor	1.15142822e-02	2.53152232e+00	1.12795401e+00
1250            	Airfoil	9.32777743e-02	4.91124606e+00	1.37613273e+00
1500            	Floor	2.51805380e-02	2.50890062e+00	1.17839367e+00
1500            	Airfoil	7.14987553e-02	4.87409243e+00	1.40653816e+00
