Block Name,Point ID,alphat,k,Normals_0,Normals_1,Normals_2,Normals_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude
Airfoil,0,4.19427e-10,7.9124e-06,0.455316,0.89033,0,1,3.56738e-10,3596.65,0.99972,0.0250899,-0.0320986,0,0.0407409,0.99937,1.00071,0,0,0,0
Airfoil,1,4.19427e-10,7.9124e-06,0.455316,0.89033,0,1,3.56738e-10,3596.65,0.99972,0.0250899,-0.0320986,-1,1.00083,0.99937,1.00071,0,0,0,0
Airfoil,2,4.21276e-10,7.84653e-06,0.461322,0.887233,0,1,3.58303e-10,3574.12,0.999749,0.024893,-0.0319962,-1,1.00082,0.999392,1.00072,0,0,0,0
Airfoil,3,4.21276e-10,7.84653e-06,0.461322,0.887233,0,1,3.58303e-10,3574.12,0.999749,0.024893,-0.0319962,0,0.0405391,0.999392,1.00072,0,0,0,0
Airfoil,4,4.0721e-10,7.59415e-06,0.461324,0.887232,0,1,3.46337e-10,3588.69,0.999762,0.0246945,-0.031893,-1,1.00081,0.999399,1.00072,0,0,0,0
Airfoil,5,4.0721e-10,7.59415e-06,0.461324,0.887232,0,1,3.46337e-10,3588.69,0.999762,0.0246945,-0.031893,0,0.0403358,0.999399,1.00072,0,0,0,0
Airfoil,6,3.98479e-10,7.41849e-06,0.461324,0.887232,0,1,3.38908e-10,3603.5,0.999776,0.0244943,-0.0317889,-1,1.0008,0.999407,1.00073,0,0,0,0
Airfoil,7,3.98479e-10,7.41849e-06,0.461324,0.887232,0,1,3.38908e-10,3603.5,0.999776,0.0244943,-0.0317889,0,0.0401311,0.999407,1.00073,0,0,0,0
Airfoil,8,3.88969e-10,7.23705e-06,0.461321,0.887234,0,1,3.30817e-10,3618.52,0.999789,0.0242925,-0.031684,-1,1.0008,0.999415,1.00073,0,0,0,0
Airfoil,9,3.88969e-10,7.23705e-06,0.461321,0.887234,0,1,3.30817e-10,3618.52,0.999789,0.0242925,-0.031684,0,0.0399249,0.999415,1.00073,0,0,0,0
Airfoil,10,3.80337e-10,7.06935e-06,0.46132,0.887234,0,1,3.23473e-10,3633.75,0.999802,0.024089,-0.0315782,-1,1.00079,0.999421,1.00074,0,0,0,0
Airfoil,11,3.80337e-10,7.06935e-06,0.46132,0.887234,0,1,3.23473e-10,3633.75,0.999802,0.024089,-0.0315782,0,0.0397173,0.999421,1.00074,0,0,0,0
Airfoil,12,3.7186e-10,6.90627e-06,0.461327,0.88723,0,1,3.16262e-10,3649.22,0.999813,0.0238839,-0.0314715,-1,1.00078,0.999428,1.00074,0,0,0,0
Airfoil,13,3.7186e-10,6.90627e-06,0.461327,0.88723,0,1,3.16262e-10,3649.22,0.999813,0.0238839,-0.0314715,0,0.0395082,0.999428,1.00074,0,0,0,0
